Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-11-11,256.0113220214844,273.9029541015625,255.67349243164062,269.8113708496094,722199256,0,0
2017-11-12,269.819091796875,273.7396240234375,255.94873046875,264.072021484375,1383773530,0,0
2017-11-13,263.31475830078125,281.94970703125,263.4051208496094,271.55621337890625,893329318,0,0
2017-11-14,271.59649658203125,290.8738708496094,271.5732116699219,286.39495849609375,907354313,0,0
2017-11-15,286.6773986816406,289.0799560546875,279.64471435546875,282.9375305175781,613364441,0,0
2017-11-16,283.0105285644531,285.60662841796875,274.8713073730469,280.9679260253906,676901015,0,0
2017-11-17,280.3251647949219,284.2532043457031,277.6324462890625,281.8570556640625,527205115,0,0
2017-11-18,281.5059814453125,296.4606018066406,277.8656921386719,294.76129150390625,550868291,0,0
2017-11-19,294.5823669433594,314.84014892578125,292.3259582519531,301.9906005859375,1006842764,0,0
2017-11-20,301.7417907714844,317.1982421875,300.7738952636719,312.48297119140625,687650825,0,0
2017-11-21,313.0904846191406,317.4550476074219,298.7926940917969,306.98553466796875,809124361,0,0
2017-11-22,306.90972900390625,322.77227783203125,306.8214416503906,322.20416259765625,677855940,0,0
2017-11-23,322.8703308105469,359.11224365234375,318.206298828125,346.1608581542969,1557667314,0,0
2017-11-24,348.1315002441406,403.16259765625,339.9375305175781,398.0813293457031,1921902726,0,0
2017-11-25,398.7225341796875,406.6990661621094,386.4652099609375,390.84326171875,1192020117,0,0
2017-11-26,390.5901184082031,396.2472839355469,378.5465087890625,395.1789855957031,1004259217,0,0
2017-11-27,395.3475341796875,413.8609313964844,392.79364013671875,403.5240478515625,1173118280,0,0
2017-11-28,403.66094970703125,405.41131591796875,392.4819030761719,399.1407775878906,1136478704,0,0
2017-11-29,399.4606628417969,441.5852355957031,358.739990234375,360.718017578125,2257796234,0,0
2017-11-30,363.8330993652344,392.4270935058594,338.2591552734375,375.7892150878906,1599462094,0,0
2017-12-01,374.1881103515625,397.51788330078125,359.4427795410156,392.41314697265625,1049608828,0,0
2017-12-02,392.67474365234375,400.5711364746094,384.0970764160156,389.8132629394531,793716868,0,0
2017-12-03,390.0285949707031,407.3348388671875,380.82763671875,392.9259338378906,835490040,0,0
2017-12-04,393.095458984375,400.3854064941406,382.15478515625,396.22821044921875,847349807,0,0
2017-12-05,396.3040466308594,399.6607360839844,387.2239685058594,391.6153869628906,1028503804,0,0
2017-12-06,391.0431213378906,391.2964172363281,356.0799865722656,363.08709716796875,1692866798,0,0
2017-12-07,361.20721435546875,374.1921081542969,351.8218994140625,369.01800537109375,1809012953,0,0
2017-12-08,369.5115661621094,396.5135498046875,358.97247314453125,387.6496276855469,1986042081,0,0
2017-12-09,388.7657165527344,428.5506591796875,387.83831787109375,402.5008544921875,1703374689,0,0
2017-12-10,401.894775390625,401.894775390625,365.10882568359375,375.3896484375,1193320275,0,0
2017-12-11,374.2313232421875,439.002197265625,373.1339111328125,437.4827880859375,1504407643,0,0
2017-12-12,443.55499267578125,559.8007202148438,428.5177917480469,554.8343505859375,4411744962,0,0
2017-12-13,549.2769165039062,636.6981201171875,508.9375,593.7538452148438,3822693396,0,0
2017-12-14,591.9178466796875,636.5657958984375,564.1715698242188,590.9766845703125,3245778862,0,0
2017-12-15,591.4523315429688,592.044189453125,526.858642578125,582.4097900390625,2347438747,0,0
2017-12-16,583.893798828125,611.2874755859375,579.2937622070312,592.4174194335938,1842826848,0,0
2017-12-17,592.4412841796875,626.6073608398438,592.4412841796875,613.1099243164062,1828655328,0,0
2017-12-18,614.6061401367188,682.3357543945312,586.4298706054688,674.3995971679688,2757557566,0,0
2017-12-19,673.7681274414062,747.536865234375,666.6740112304688,698.5662231445312,3461093180,0,0
2017-12-20,699.1517333984375,713.7951049804688,638.4090576171875,689.6405029296875,3342544387,0,0
2017-12-21,690.6087646484375,742.1348876953125,668.3154907226562,692.7632446289062,3011356814,0,0
2017-12-22,694.0963745117188,698.4666748046875,458.7934875488281,569.1658935546875,4198119322,0,0
2017-12-23,574.6107788085938,644.256591796875,573.2740478515625,606.71923828125,2091878188,0,0
2017-12-24,608.7281494140625,608.7281494140625,518.6151733398438,585.8778076171875,1941720027,0,0
2017-12-25,589.86328125,659.0205688476562,589.86328125,645.130126953125,2099031360,0,0
2017-12-26,643.0545043945312,662.8390502929688,641.3274536132812,652.6956787109375,1856578893,0,0
2017-12-27,653.6521606445312,664.9140625,620.6194458007812,641.0975341796875,1764879361,0,0
2017-12-28,640.5647583007812,641.4984130859375,587.8003540039062,617.3239135742188,2001130708,0,0
2017-12-29,620.1431884765625,640.9629516601562,608.9708251953125,628.2026977539062,2208211057,0,0
2017-12-30,628.3886108398438,628.3886108398438,571.2162475585938,597.9135131835938,2657369203,0,0
2017-12-31,593.7078857421875,633.4649658203125,591.9631958007812,630.5057373046875,2128203593,0,0
2018-01-01,629.6925659179688,652.1083374023438,617.873291015625,643.3849487304688,2161512306,0,0
2018-01-02,643.1393432617188,761.7869873046875,643.19287109375,733.3089599609375,4795083127,0,0
2018-01-03,734.59912109375,811.4505615234375,721.9644165039062,801.5986328125,4240765975,0,0
2018-01-04,800.7601928710938,866.064453125,784.157470703125,812.9636840820312,5389408069,0,0
2018-01-05,808.67724609375,892.9585571289062,794.157958984375,829.497802734375,5556326758,0,0
2018-01-06,827.364501953125,881.8672485351562,826.9221801757812,866.0459594726562,3876138823,0,0
2018-01-07,867.1516723632812,958.0211181640625,867.1516723632812,958.0211181640625,4627299214,0,0
2018-01-08,962.249755859375,1053.492431640625,849.5401000976562,959.5872802734375,7060715274,0,0
2018-01-09,957.4734497070312,1106.62646484375,957.1273193359375,1089.7459716796875,6678510915,0,0
2018-01-10,1090.2490234375,1187.4832763671875,1026.01416015625,1050.455810546875,7708030448,0,0
2018-01-11,1060.7193603515625,1118.5179443359375,943.4591674804688,959.16455078125,6009384523,0,0
2018-01-12,961.9550170898438,1070.0462646484375,928.8414916992188,1044.1199951171875,4282680138,0,0
2018-01-13,1041.8812255859375,1175.0697021484375,1041.8812255859375,1145.1697998046875,4712776933,0,0
2018-01-14,1146.0390625,1148.56494140625,1054.7891845703125,1121.2222900390625,3971804929,0,0
2018-01-15,1119.9425048828125,1140.9500732421875,1052.43408203125,1053.3387451171875,3898165538,0,0
2018-01-16,1053.9176025390625,1054.6915283203125,714.2058715820312,858.7529907226562,6850154823,0,0
2018-01-17,864.9877319335938,896.3495483398438,640.7827758789062,832.7859497070312,7016306915,0,0
2018-01-18,834.5841064453125,901.7456665039062,793.6353759765625,847.1184692382812,4854344700,0,0
2018-01-19,841.0201416015625,892.1331787109375,818.6200561523438,850.3273315429688,3342430481,0,0
2018-01-20,855.114501953125,955.0818481445312,855.114501953125,945.2946166992188,3253019653,0,0
2018-01-21,945.7283325195312,945.7283325195312,832.3148193359375,856.3804931640625,2756274465,0,0
2018-01-22,861.0884399414062,888.77099609375,760.3472290039062,818.5868530273438,3108763029,0,0
2018-01-23,819.3292846679688,832.0296020507812,750.48095703125,801.3561401367188,2889981233,0,0
2018-01-24,802.3701782226562,862.930419921875,784.5081787109375,854.4750366210938,3182987601,0,0
2018-01-25,858.0582275390625,888.7047729492188,827.5933837890625,852.2556762695312,3268654733,0,0
2018-01-26,849.5681762695312,868.3703002929688,801.0801391601562,849.6417236328125,2913028514,0,0
2018-01-27,850.1087036132812,903.4382934570312,839.1336059570312,891.4324340820312,2417964422,0,0
2018-01-28,895.22509765625,1012.77880859375,895.22509765625,1002.502197265625,4322415306,0,0
2018-01-29,1003.0573120117188,1011.5099487304688,944.1007690429688,955.0565185546875,3000872323,0,0
2018-01-30,956.4862670898438,957.5863037109375,854.3525390625,863.257568359375,3310654391,0,0
2018-01-31,863.2252807617188,906.4086303710938,833.5347900390625,900.7007446289062,3026385361,0,0
2018-02-01,901.554443359375,928.2631225585938,787.0995483398438,828.8352661132812,4206315555,0,0
